"Internal ProfileID","3fafa527-3ef2-4d05-be39-309dfff51f4f"
"Location","CA"
"Device Name","UPS2  BB2"
"Device ID","1"
"Battery Series","1"
"Battery Type",""
"Battery Number","190"
"Battery Start ID","1"
"Capacity","1000 Ah"
"Time Created","2026-01-09 15:10:24"
"Time Modified","2026-01-09 15:22:04"
"Custom Value 1",""
"Custom Value 2",""
"Custom Value 3",""
"Custom Value 4",""
"Custom Value 5",""
"Table1","mΩ-Volt (Temperature)"
"--------------------"
"ID","Resistance(mΩ)","VDC","Temperature(℃)","Time"
12HAACAbYIAwIAAAAA7BphaRwAAgG3CAMCAAAAAO4aYWkcAAIBtwgDAgAAAAD0GmFpCB
13HQACAbUIAwIAAAAA9RphaR0AAgG1CAMCAAAAAPYaYWkcAAIBtQgDAgAAAAD3GmFpB9
14HAACAbUIAwIAAAAA+BphaRwAAgG1CAMCAAAAAPkaYWkbAAIBtQgDAgAAAAD8GmFpB0
15GwACAbUIAwIAAAAAAhthaRkAAgG4CAMCAAAAAAobYWkvAAIBtwgDAgAAAAALG2Fp6D
16MAACAbcIAwIAAAAADBthaTAAAgG3CAMCAAAAAA0bYWkwAAIBtwgDAgAAAAAOG2Fp2E
17MQACAbcIAwIAAAAADxthaTIAAgG3CAMCAAAAABAbYWkyAAIBtwgDAgAAAAAVG2Fp1B
18WQACAbcIAwIAAAAAFxthaVgAAgG3CAMCAAAAABcbYWlXAAIBtwgDAgAAAAAZG2Fp94
19VgACAbcIAwIAAAAAHBthaVUAAgG3CAMCAAAAABwbYWlVAAIBtwgDAgAAAAApG2Fp81
1AXgACAYsRAwIAAAAAKhthaV8AAgGLEQMCAAAAACsbYWlfAAIBixEDAgAAAAA0G2FpA5
1BHQACAbYIAwIAAAAANRthaR0AAgG2CAMCAAAAADUbYWkdAAIBtggDAgAAAABCG2FpE0
1CRgACAcAIAwIAAAAARxthaS4AAgHACAMCAAAAAEgbYWkuAAIBwAgDAgAAAABIG2Fp4B
1DLgACAcAIAwIAAAAAShthaS0AAgHACAMCAAAAAEsbYWksAAIBwAgDAgAAAABMG2Fp5B
1EKwACAcAIAwIAAAAATRthaSsAAgHACAMCAAAAAE4bYWk2AAIBwAgDAgAAAABOG2Fp4D
1FNwACAcAIAwIAAAAAUBthaTcAAgHACAMCAAAAAFEbYWk2AAIBwAgDAgAAAABSG2Fp2A
20NgACAcAIAwIAAAAAhhthaRcAAgHGCAMCAAAAAIcbYWkXAAIBxggDAgAAAADJG2Fp7A
21RQACAbYIAwIAAAAAyhthaUYAAgG2CAMCAAAAAMsbYWlMAAIBtggDAgAAAADMG2FpA5
22TAACAbYIAwIAAAAAzRthaUwAAgG2CAMCAAAAAM4bYWlMAAIBtggDAgAAAADQG2Fp8D
23TAACAbYIAwIAAAAA0BthaUwAAgG2CAMCAAAAANEbYWlMAAIBtggDAgAAAADSG2Fp84
24TAACAbYIAwIAAAAA0xthaUwAAgG2CAMCAAAAANQbYWlMAAIBtggDAgAAAADaG2Fp75
